"product_name","brands","stores","nutriscore_grade","nutrition_score_fr","energy_kcal","fat_100g","saturated_fat_100g","sugars_100g","salt_100g","fiber_100g","proteins_100g","labels","origins","categories","url","code"
"","lilia","","d","","675.0","75.0","34.0","0.0","0.5","0.0","0.1","","","Plant-based foods and beverages,Dairies,Plant-based foods,Fats,Spreads,Plant-based spreads,Salted spreads,Vegetable fats,Spreadable fats,Animal fats,Dairy spreads,Margarines,Milkfat,Butters","https://world.openfoodfacts.org/product/6111099003897/margarine-de-table-lilia","6111099003897"
"اكوافينا","pepsi","","b","","0.0","0.0","0.0","0.0","0.0","","0.0","","","boissons-et-préparations-de-boissons, boissons, eaux, eaux-de-sources, eaux-minérales, eaux-de-table, fr:eaux","https://world.openfoodfacts.org/product/6111252421582/%D8%A7%D9%83%D9%88%D8%A7%D9%81%D9%8A%D9%86%D8%A7-pepsi","6111252421582"
"Prince Goût Chocolat","Lu","Carrefour Market,Magasins U,Auchan,Intermarché,Carrefour,Casino,Cora,Bi1,carrefour.fr,Netto,bannete,E.Leclerc","e","","467.0","17.0","5.6","32.0","0.49","4.0","6.3","Triman","","Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat","https://world.openfoodfacts.org/product/7622210449283/prince-chocolate-cookies-lu","7622210449283"
"Excellence Noir Prodigieux 90% Cacao","Lindt","Carrefour,Géant,kupsch,Magasins U,Esselunga,Lindt,carrefour.fr,COOP,El Corte Inglés,Consum,Meny","d","","592.0","55.0","30.0","7.0","0.03","15.0","10.0","Groene Punt,Triman","","Snacks,Zoete snacks,Cacao en afgeleide producten,Chocoladeproducten,Pure chocolades,Extra fijne pure chocolade","https://world.openfoodfacts.org/product/3046920029759/lindt-excellence-90","3046920029759"
"Oulmes natural carbonated water","Les eaux minérales d'Oulmès S.A.","","a","","","","","","0.0784","","","ISO 22000,ISO 14001,ISO 45001,ISO 9001,Co2 naturel","maroc, fr:maroc","Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales naturelles,Eaux minérales gazeuses","https://world.openfoodfacts.org/product/6111035003035/oulmes-natural-carbonated-water-les-eaux-minerales-d-oulmes-s-a","6111035003035"
"Nutella","Ferrero","Auchan,E. Leclerc,Carrefour","e","","539.0","30.9","10.6","56.3","0.107","","6.3","Sans gluten,Végétarien,Sans conservateurs,Sans colorants,Sans matière grasse hydrogénée,Triman","","Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao","https://world.openfoodfacts.org/product/3017620425035/nutella-ferrero","3017620425035"
"Orange juice","Coca cola","Marjane,Carrefour","e","","39.0","0.0","0.0","17.0","0.126","5.0","0.0","","","Cibi e bevande a base vegetale,Bevande,Bevande a base di piante,Bevande a base di frutta,Succo e nettare,en:Orange-based beverages","https://world.openfoodfacts.org/product/5449000147417/orange-juice-coca-cola","5449000147417"
"Tonik","Bimo","","e","","504.0","22.2","10.9","40.0","0.217","0.435","4.35","fr:Tonik","Morocco","Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Cereals and their products,Cocoa and its products,Confectioneries,Flours,Biscuits,Cereal flours,Chocolate candies,Sweeteners,Wheat flours,Sugars,fr:Gaufrettes-fourrees-au-cacao","https://world.openfoodfacts.org/product/6111031005064/tonik-bimo","6111031005064"
"levure pâtisserie","","","b","","183.0","0.0","0.0","0.0","0.0","0.0","0.0","Halal","","levure patissiere","https://world.openfoodfacts.org/product/6111180000231/levure-patisserie","6111180000231"
"Ain Saiss Eau Minerale Naturelle","Danone","","a","","0.0","0.0","0.0","0.0","0.0","","0.0","","","Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales","https://world.openfoodfacts.org/product/6111128000163/ain-saiss-33cl-danone","6111128000163"
"Sésame","Gerblé","E.Leclerc,Carrefour,Auchan,Monoprix,carrefour.fr,Lidl,Intermarché","c","","467.0","18.0","2.0","17.0","0.38","4.6","10.0","No preservatives, Made in France, Natural flavors, No colorings, No palm oil, Nutriscore, Nutriscore Grade B, Triman, en:green-dot","France,Union européenne,Non Union Européenne","Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits","https://world.openfoodfacts.org/product/3175680011480/gerble-sesame-cookie-230g-8-2oz","3175680011480"
"Confiture de fraise","Délicia","","unknown","","250.0","0.3","","63.0","","","0.5","No preservatives, en:100-natural","Maroc","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Produits à tartiner,Fruits et produits dérivés,Pâtes à tartiner végétales,Produits à tartiner sucrés,Confitures et marmelades,Confitures,Confitures de fruits rouges,Confitures de fraises","https://world.openfoodfacts.org/product/6111162000839/confiture-de-fraise-delicia","6111162000839"
"Ain Atlas","Eau minérale naturelle des Montagnes d'Atlas","","a","","","","","","0.0","","","","Maroc","Boissons,Eaux,Eaux de sources,Eaux minérales","https://world.openfoodfacts.org/product/6111035001659/ain-atlas-eau-minerale-naturelle-des-montagnes-d-atlas","6111035001659"
"Yaourt nature","Jaouda","Marjane","b","","78.5","3.3","2.4","0.0","0.0","0.0","4.2","","","Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts natures","https://world.openfoodfacts.org/product/6111242100206/yaourt-nature-jaouda","6111242100206"
"Ain Atlas","Eau minérale naturelle","","a","","0.0","0.0","0.0","0.0","0.12","","0.0","","","Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales","https://world.openfoodfacts.org/product/6111035001635/ain-atlas-eau-minerale-naturelle","6111035001635"
"Mayonnaise recette originale","Star","","d","","592.0","65.21","9.8","0.05","1.75","","1.12","","Maroc","Condiments,Matières grasses,Sauces,Mayonnaises,en:groceries","https://world.openfoodfacts.org/product/6111184004129/mayonnaise-original-recipe-star","6111184004129"
"Sourdough White Ciabattin Bread","Jason’s","Sainsbury's,Tesco","d","","230.0","0.83","0.207","2.28","1.88","2.9","10.2","Vegetarian,Vegan,Great Taste","United Kingdom,European Union and Non European Union","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,White breads,Sourdough-bread","https://world.openfoodfacts.org/product/5025125000006/sourdough-white-ciabattin-bread-jason-s","5025125000006"
"coca cola 500ml","Coca-Cola","Magasins U,Żabka,Biedronka,Hofer,Billa,Spar","e","","42.0","0.0","0.0","10.6","0.0","","0.0","Made in Swiss","United Kingdom","Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas,Non-alcoholic beverages,Colas,Sweetened beverages","https://world.openfoodfacts.org/product/54491472/coca-cola-500ml","54491472"
"","aïn Saiss","","a","","","","","","0.002","","","","","Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles","https://world.openfoodfacts.org/product/6111128000460/ain-saiss","6111128000460"
"Dark Chocolate 85% Cocoa","J.D. Gross","Lidl","e","","579.0","46.8","28.2","12.9","0.03","","10.8","Vegetarian,Fair trade,Fairtrade International,No artificial flavors,Vegan,Fairtrade cocoa,FSC,FSC Mix,Max Havelaar","","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates","https://world.openfoodfacts.org/product/20995553/dark-chocolate-85-cocoa-j-d-gross","20995553"
"CRISTALINE Eau De Source 0.5L","Cristaline","Sogeres,Holyday Inn Toulon","a","","0.0","0.0","0.0","","0.00476","","","Triman, Sans Nitrates","France,Italie,en:Cairanne,en:Chambon-la-Forêt,en:Provence-Alpes-Côte d'Azur,en:Source Emma,en:Source Ofélia,en:Source Sainte Cécile,en:Source Éléna,en:Source Éléonore,en:Vaucluse","Boissons et préparations de boissons, Boissons, Eaux, Eaux de sources, Boissons sans sucre ajouté","https://world.openfoodfacts.org/product/3268840001008/cristaline-eau-de-source-0-5l","3268840001008"
"Nutella","Ferrero","","e","","539.0","30.9","10.6","56.3","0.107","","6.3","Vegetarian,No gluten,No preservatives,No hydrogenated fats,Triman","","Chocolate and hazelnuts spreads","https://world.openfoodfacts.org/product/3017620422003/nutella-ferrero","3017620422003"
"White Sourdough Bread","Jason’s","Ocado","b","","237.0","0.698","0.1","2.1","0.787","3.0","9.73","Vegetarian,No artificial flavors,No artificial preservatives,Vegan","","Sourdough-bread, en:breads","https://world.openfoodfacts.org/product/5025125000112/white-sourdough-bread-jason-s","5025125000112"
"Sourdough Grains & Seeds","Jason's","Sainsbury's,Tesco","a","","237.0","2.7","0.3","1.4","0.825","4.7","10.7","Vegan,Vegetarian","European Union and Non European Union,United Kingdom","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads,Vegan,Vegetarian","https://world.openfoodfacts.org/product/5025125000037/sourdough-grains-seeds-jason-s","5025125000037"
"Cheddar","la Hollandaise","","d","","270.0","21.0","12.0","6.0","1.5","","9.0","agrément sanitaire MA","","Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Cheeses from the United Kingdom, Cheeses from England, Cheddar cheese, en:cheddar-slices","https://world.openfoodfacts.org/product/6111203006653/la-hollandaise-cheddar-p64","6111203006653"
"Almonds","Alesto,Lidl","Lidl","a","","621.0","53.3","4.3","4.8","0.01","12.1","24.5","Végétarien,Végétalien,Union Végétarienne Européenne,Union Végétarienne Européenne Végétalien,Nutriscore,Nutriscore A,Triman","États-Unis","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Amandes,Fruits à coques décortiqués,Amandes décortiquées,Amandes non-salées","https://world.openfoodfacts.org/product/20724696/almonds-alesto","20724696"
"Star Branded Iodized Salt","Star","","not-applicable","","","0.0","0.0","0.0","99.0","0.0","0.0","","","Condiments,Sels,Sels de table,en:groceries","https://world.openfoodfacts.org/product/6111184001562/star-branded-iodized-salt","6111184001562"
"Ketchup","Star","for house","c","","108.0","0.08","0.0","22.36","0.00555","0.0","1.12","","","en:Condiments, en:Sauces, en:Tomato sauces, en:Ketchup, en:Groceries","https://world.openfoodfacts.org/product/6111184004730/ketchup-star","6111184004730"
"Cosumar Sucre En Lingot Pour Le Thé 1 kg","COSUMAR","marjane","e","","400.0","0.0","0.0","100.0","0.0","0.0","0.0","","fr:maroc, morocco","en:Sweeteners, en:Sugars","https://world.openfoodfacts.org/product/6111029000118/cosumar-sucre-en-lingot-pour-le-the-1-kg","6111029000118"
"Cashewkerne","Alesto, Lidl, Lidl Alesto","Lidl","b","","600.0","47.6","9.0","6.5","0.02","5.2","20.5","Mit wenig oder keinem Salz,Vegetarisch,Proteinquelle,Vegan,Europäische Vegetarier-Union,Europäische Vegetarier-Union Vegan,Grüner Punkt,Proteinreich,Magnesiumquelle,Ohne Salzzusatz,Ohne Palmöl,Reich an ungesättigten fettsäuren","sk:nepochádza z EU","Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Nüsse und Nussprodukte,Nüsse,Cashewnüsse","https://world.openfoodfacts.org/product/20267605/cashews-cashew-nuts-alesto","20267605"
"","Ferrero,Nutella","","e","","539.0","30.9","10.6","56.3","0.107","","6.3","Vegetariano,Sem glúten,Sem conservantes,Ponto Verde,Sem corantes,Sem gorduras hidrogenadas,Triman","","Pequenos alomoços,Produtos para barrar,Doces para barrar,fr:Pâtes à tartiner,Creme para barrar de avelã,Creme para barrar de chocolate,Creme para barrar de avelã e cacau","https://world.openfoodfacts.org/product/80177173/ferrero","80177173"
"Henry’s","Henry's","","e","","440.0","10.8235","5.2941","24.2353","0.882353","2.3529","7.6471","","","Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits","https://world.openfoodfacts.org/product/3362600011044/henry-s","3362600011044"
"Assil","Danone","Marjane","c","","95.5","2.7","1.8","9.0","0.0","2.0","3.4","","","Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts","https://world.openfoodfacts.org/product/6111032001003/assil-danone","6111032001003"
"Salim","Salim","","b","","58.0","3.0","2.0","0.0","0.0","","3.0","No gluten","","Dairies,Milks","https://world.openfoodfacts.org/product/6111032000600/salim","6111032000600"
"BTE 33CL SLIM COCA COLA","Coca-Cola","Monoprix,Lidl,Carrefour","e","","42.0","0.0","0.0","10.6","0.0","","0.0","Prodotto in Francia,Triman,Povratna naknada","","Bevande e preparati per bevande,Bevande,Bevande effervescente,Bibite gassate,Bibite gassate senza succo di frutta,Cola,Bibite gassate zuccherate senza succo di frutta,Bevande zuccherate","https://world.openfoodfacts.org/product/5449000214911/coca-cola","5449000214911"
"Cremy","jaouda","","a","","109.0","3.0","0.4","2.0","0.0","","3.6","","Maroc","Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts","https://world.openfoodfacts.org/product/6111242100305/cremy-jaouda","6111242100305"
"","Nutella,Ferrero","","e","","539.0","30.9","10.6","56.3","0.107","","6.3","Sem glúten,Ponto Verde,Triman","","Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Pequenos alomoços,Produtos para barrar,Produtos para barrar à base de plantas,Doces para barrar,fr:Pâtes à tartiner,Creme para barrar de avelã,Creme para barrar de chocolate,Creme para barrar de avelã e cacau","https://world.openfoodfacts.org/product/80135463/hazelnut-spread-with-cocoa-nutella","80135463"
"Ciel","THE COCA-COLA COMPANY","","b","","0.0","0.0","0.0","0.0","0.05","0.0","0.0","Halal","","Boissons,Eaux,Boissons sans alcool","https://world.openfoodfacts.org/product/5449000061515/ciel-the-coca-cola-company","5449000061515"
"Ciel 33cl","Ciel","","a","","0.0","0.0","0.0","0.0","0.13","","0.0","","","Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux de table","https://world.openfoodfacts.org/product/42104964/ciel-33cl","42104964"
"","Maruja","","e","","539.0","33.0","25.0","50.0","0.275","","7.2","Green Dot,Made in Spain,Ce","","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Compound chocolates,Food","https://world.openfoodfacts.org/product/8425197712024/compound-chocolate-with-milk-and-almonds-maruja","8425197712024"
"ain saiss 50cl","Danone","","a","","0.0","0.0","0.0","0.0","0.0","","0.0","Point Vert","","Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales","https://world.openfoodfacts.org/product/6111128000088/ain-saiss-50cl-danone","6111128000088"
"Cream cheese","Original","","a","","257.0","18.0","0.0","0.0","0.0","0.0","10.0","","","Dairies, Fermented foods, Fermented milk products, Cheeses, Cream cheeses","https://world.openfoodfacts.org/product/6111246721278/cream-cheese-original","6111246721278"
"Spreadable Slightly Salted","Lurpak","","e","","679.0","75.0","35.0","0.6","0.885","0.0","0.5","Vegetarian","Denmark","Dairies,Fats,Spreads,Spreadable fats,Animal fats,Dairy spreads,Milkfat,Butters","https://world.openfoodfacts.org/product/5740900404465/spreadable-slightly-salted-lurpak","5740900404465"
"","BAHIA","","b","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","Maroc","boissons, eaux, eaux-de-sources, eaux-minérales, eaux-de-table, fr:boissons, fr:eaux","https://world.openfoodfacts.org/product/6111035003523/bahia","6111035003523"
"Oulmes Eau Gazeuse","Oulmès","","a","","0.0","0.0","0.0","0.0","0.31","0.0","0.0","","","Carbonated mineral waters","https://world.openfoodfacts.org/product/6111035003004/oulmes-eau-gazeuse","6111035003004"
"Organic 70% Dark Chocolate Bar","Green & Black's","","e","","580.0","42.0","25.0","29.0","0.01","10.0","9.1","Commerce équitable,Bio,Végétarien,Bio européen,Fairtrade International,Végétalien,PL-EKO-07,en:Soil Association Organic,The Vegan Society,en:Commerce équitable","","Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum","https://world.openfoodfacts.org/product/7622210578464/organic-70-dark-chocolate-bar-green-black-s","7622210578464"
"jibal jben","jibal","","d","","138.0","11.5","7.7","3.5","0.8","","2.5","","","Chees","https://world.openfoodfacts.org/product/6111246954461/jibal-jben","6111246954461"
"KING COOKIES","Excelo","","e","","483.0","24.0","12.0","32.0","0.27","","5.2","Green Dot","","Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Drop cookies","https://world.openfoodfacts.org/product/6111259343108/king-cookies-excelo","6111259343108"
"Nescafé Classic","Nestlé","","unknown","","","","","","","","","","Maroc","Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Préparations pour boissons,Cafés,Boissons instantanées,Café Arabica,Cafés solubles,Café au lait en poudre soluble","https://world.openfoodfacts.org/product/6111018903161/nescafe-classic-nestle","6111018903161"
"Jamila","Danone","","e","","72.0","1.7","1.1","9.0","0.0","0.0","1.9","","Maroc","Beverages, Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented drinks, Yogurts, Fermented milk drinks, Drinkable yogurts, en:fruit-yogurts","https://world.openfoodfacts.org/product/6111032006619/jamila-danone","6111032006619"
"Eau","Aïn lfrane","","a","","0.0","0.0","0.0","0.0","3e-06","","0.0","Tidy man","","Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles","https://world.openfoodfacts.org/product/6111251420166/eau-ain-lfrane","6111251420166"
"Aquafina 50cl","Aquafina","","b","","1.0","0.1","0.1","0.1","0.1","0.0","0.1","","","Boissons,Eaux,Eaux de table","https://world.openfoodfacts.org/product/6111252421575/aquafina-50cl","6111252421575"
"sauce tomate cuisinée","solis","","c","","68.0","0.4","0.0","4.4","1.0","2.0","1.6","No gluten,FSC,FSC Mix,Made in Spain","","Sauces tomate","https://world.openfoodfacts.org/product/8445290615350/sauce-tomate-cuisinee-solis","8445290615350"
"Coca-Cola Zero","Coca-Cola","Magasins U","c","","0.3","0.0","0.0","0.0","0.01","","0.0","Made in France, Natural flavors, No hydrogenated fats, Triman","","Beverages and beverages preparations, Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Non-alcoholic beverages, Colas, Diet sodas, Diet cola soft drink","https://world.openfoodfacts.org/product/5449000214799/coca-cola-zero","5449000214799"
"Sable coco Henry s 42g","Henry's","","e","","443.0","12.4","7.14","23.8","0.899","2.38","7.62","","","Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés,Sablés à la noix de coco","https://world.openfoodfacts.org/product/3362600011228/sable-coco-henry-s-42g","3362600011228"
"Geröstete Mandel Ohne Zucker","Alpro","Edeka,Carrefour,REMA 1000,Spar,K-Supermarket,Pingo Doce,Eroski","b","","15.0","1.1","0.1","0.0","0.15","0.3","0.5","Com pouca ou sem gordura,Baixo ou nenhum açúcar,Baixo teor de gordura,Sem glúten,Vegetariano,Sem conservantes,Vegano,100% vegetal,Fonte de cálcio,Empresa B Certificada,União Vegetariana Europeia,União Vegetariana Europeia Vegano,FSC,FSC Misto,Baixo teor de gordura saturada,Sem corantes,Sem corantes ou conservantes,Sem leite,Sem açúcar,Nutriscore,Nutri-Score grau B,Sem adoçantes,Triman","","en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Alimentos à base de plantas,en:Dairy substitutes,Substitutos do leite,Nozes e seus produtos,Bebidas à base de plantas,Leites de planta,Leites de frutos secos,Bebidas de amêndoa","https://world.openfoodfacts.org/product/5411188112709/no-sugars-nutty-almond-alpro","5411188112709"
"Aïn Atlas 50cl","Aïn Atlas","","a","","0.0","0.0","0.0","0.0","0.024","0.0","0.0","en:Aïn Atlas","en:bassin oulmès,en:source Hammou Agamgam","Boissons,Eaux,Eaux de sources,Eaux minérales","https://world.openfoodfacts.org/product/6111035001673/ain-atlas-50cl","6111035001673"
"","Alesto,Alesto Lidl,Alesto Selection,Lidl","Lidl","c","","647.0","58.0","6.33","4.33","8.33e-05","8.67","20.3","Omega-3,Source de protéines,Nutriscore,Nutriscore A,Source of omega-3","Allemagne,Union européenne","Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Mélanges de fruits à coque","https://world.openfoodfacts.org/product/20047238/notenmix-ongebrand-alesto","20047238"
"Oat Drink Barista Edition","Oatly","Co-op Food,Tesco Extra,Sainsbury's,Tesco,Asda,Lidl,Waitrose","d","","61.0","3.0","0.3","3.4","0.0975","0.8","1.1","Vegetarian, Vegan, Carbon footprint, FSC, FSC Mix, No milk, No soy, Natural sugars from oats","","Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks","https://world.openfoodfacts.org/product/7394376616228/oat-drink-barista-edition-oatly","7394376616228"
"Lait U.H.T entier","Dost","","b","","58.0","3.0","0.0","0.0","0.0","","3.0","","","Produits laitiers, Laits, Laits homogénéisés, Laits UHT, Laits entiers, Laits de vache","https://world.openfoodfacts.org/product/6111250470742/lait-u-h-t-entier-dost","6111250470742"
"margarine la prairie 225g","la Prairie","Marjane","c","","635.0","70.0","0.0","0.0","0.7","0.0","1.0","","","Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines, en:salted-spreads","https://world.openfoodfacts.org/product/6111203001467/margarine-la-prairie-225g","6111203001467"
"","Alesto,Lidl","Lidl","a","","712.0","69.1","6.8","3.0","0.02","6.8","15.5","Peu ou pas de sel,Omega-3,Riche en Oméga-3,Sans sel ajouté,Nutriscore,Nutriscore A,Triman","united states","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Fruits à coques et dérivés,Fruits à coques,Fruits à coques décortiqués,Noix,Cerneaux de noix","https://world.openfoodfacts.org/product/20005733/walnusse-alesto","20005733"
"Biscuits croquants au coeur onctueux de Nutella®","Nutella,Ferrero","","e","","515.0","24.8","11.5","35.8","0.559","","7.9","Ponto Verde","","Biscoitos recheados","https://world.openfoodfacts.org/product/8000500310427/biscuits-croquants-au-coeur-onctueux-de-nutella","8000500310427"
